sku,month,ticket_price,qty_sold,returns,unit_cost,inventory,sales_goal,sales_to_date,price_ladder,seasonal_flag
SKU-001,2024-01-01,85.31,7,0,54.4,32,7,5,A,1
SKU-001,2024-02-01,81.63,12,0,54.4,39,13,5,A,1
SKU-001,2024-03-01,86.88,11,0,54.4,34,11,7,A,1
SKU-001,2024-04-01,74.23,17,0,54.4,58,16,9,A,1
SKU-001,2024-05-01,86.18,9,0,54.4,43,8,5,B,1
SKU-001,2024-06-01,82.28,8,0,54.4,43,8,3,A,1
SKU-001,2024-07-01,88.57,10,0,54.4,55,9,8,A,1
SKU-001,2024-08-01,86.68,9,0,54.4,22,8,6,C,1
SKU-001,2024-09-01,81.87,7,0,54.4,48,7,3,A,1
SKU-001,2024-10-01,91.29,6,0,54.4,47,6,4,C,1
SKU-001,2024-11-01,78.47,7,0,54.4,20,6,3,B,1
SKU-001,2024-12-01,91.59,7,0,54.4,33,7,5,B,1
SKU-002,2024-01-01,307.44,3,0,139.0,43,3,1,B,0
SKU-002,2024-02-01,257.77,0,0,139.0,42,0,0,B,0
SKU-002,2024-03-01,282.94,0,0,139.0,49,0,0,C,0
SKU-002,2024-04-01,310.15,2,0,139.0,31,1,0,A,0
SKU-002,2024-05-01,271.49,3,0,139.0,48,3,2,A,0
SKU-002,2024-06-01,283.11,1,0,139.0,17,1,0,A,0
SKU-002,2024-07-01,321.18,0,0,139.0,12,0,0,C,0
SKU-002,2024-08-01,254.7,3,0,139.0,38,2,1,A,0
SKU-002,2024-09-01,254.27,2,0,139.0,34,2,1,C,0
SKU-002,2024-10-01,255.11,0,0,139.0,45,0,0,A,0
SKU-002,2024-11-01,249.66,1,0,139.0,43,0,0,B,0
SKU-002,2024-12-01,284.27,2,0,139.0,2,2,1,C,0
SKU-003,2024-01-01,362.05,0,0,227.48,40,0,0,A,1
SKU-003,2024-02-01,324.97,0,0,227.48,19,0,0,A,1
SKU-003,2024-03-01,390.97,0,0,227.48,39,0,0,C,1
SKU-003,2024-04-01,368.3,0,0,227.48,49,0,0,B,1
SKU-003,2024-05-01,407.7,0,0,227.48,37,0,0,A,1
SKU-003,2024-06-01,375.67,0,0,227.48,2,0,0,A,1
SKU-003,2024-07-01,381.34,0,0,227.48,43,0,0,C,1
SKU-003,2024-08-01,362.84,0,0,227.48,31,0,0,A,1
SKU-003,2024-09-01,414.83,0,0,227.48,48,0,0,C,1
SKU-003,2024-10-01,354.67,0,0,227.48,5,0,0,B,1
SKU-003,2024-11-01,391.76,0,0,227.48,19,0,0,C,1
SKU-003,2024-12-01,315.49,0,0,227.48,41,0,0,A,1
SKU-004,2024-01-01,384.35,15,0,185.03,32,14,4,C,0
SKU-004,2024-02-01,352.26,15,0,185.03,60,14,12,A,0
SKU-004,2024-03-01,351.09,18,0,185.03,52,18,13,A,0
SKU-004,2024-04-01,369.37,17,0,185.03,67,15,13,A,0
SKU-004,2024-05-01,416.62,8,0,185.03,33,8,4,C,0
SKU-004,2024-06-01,426.36,16,0,185.03,31,16,12,A,0
SKU-004,2024-07-01,381.56,12,0,185.03,47,13,6,C,0
SKU-004,2024-08-01,383.02,12,0,185.03,63,11,8,C,0
SKU-004,2024-09-01,360.39,18,0,185.03,47,19,16,B,0
SKU-004,2024-10-01,387.75,15,0,185.03,42,16,9,B,0
SKU-004,2024-11-01,329.68,17,0,185.03,20,18,5,A,0
SKU-004,2024-12-01,342.54,16,0,185.03,66,17,14,C,0
SKU-005,2024-01-01,363.42,106,2,258.12,308,100,39,C,0
SKU-005,2024-02-01,430.44,71,1,258.12,148,72,36,B,0
SKU-005,2024-03-01,367.57,80,3,258.12,95,85,47,B,0
SKU-005,2024-04-01,350.95,101,3,258.12,226,95,55,A,0
SKU-005,2024-05-01,354.17,76,1,258.12,203,74,54,A,0
SKU-005,2024-06-01,344.45,81,2,258.12,222,75,60,C,0
SKU-005,2024-07-01,383.17,78,2,258.12,104,73,60,C,0
SKU-005,2024-08-01,391.33,91,2,258.12,217,86,65,A,0
SKU-005,2024-09-01,385.65,81,2,258.12,90,86,55,C,0
SKU-005,2024-10-01,384.46,87,1,258.12,170,95,51,B,0
SKU-005,2024-11-01,333.79,72,2,258.12,199,73,39,C,0
SKU-005,2024-12-01,329.8,79,1,258.12,236,80,67,A,0
SKU-006,2024-01-01,247.66,0,0,126.13,21,0,0,B,0
SKU-006,2024-02-01,246.01,0,0,126.13,11,0,0,A,0
SKU-006,2024-03-01,230.73,1,0,126.13,26,0,0,B,0
SKU-006,2024-04-01,269.51,0,0,126.13,21,0,0,A,0
SKU-006,2024-05-01,231.37,0,0,126.13,39,0,0,C,0
SKU-006,2024-06-01,232.31,0,0,126.13,14,0,0,B,0
SKU-006,2024-07-01,237.04,0,0,126.13,36,0,0,A,0
SKU-006,2024-08-01,236.76,0,0,126.13,34,0,0,A,0
SKU-006,2024-09-01,211.85,0,0,126.13,11,0,0,A,0
SKU-006,2024-10-01,220.23,1,0,126.13,10,0,0,A,0
SKU-006,2024-11-01,263.92,0,0,126.13,12,0,0,C,0
SKU-006,2024-12-01,204.05,0,0,126.13,31,0,0,B,0
SKU-007,2024-01-01,361.39,48,2,170.16,150,45,27,B,0
SKU-007,2024-02-01,384.75,45,0,170.16,59,46,30,B,0
SKU-007,2024-03-01,312.27,69,1,170.16,84,69,28,B,0
SKU-007,2024-04-01,320.96,64,1,170.16,122,59,35,A,0
SKU-007,2024-05-01,343.17,57,0,170.16,165,52,28,C,0
SKU-007,2024-06-01,337.28,49,1,170.16,127,45,15,A,0
SKU-007,2024-07-01,349.11,62,1,170.16,144,58,47,C,0
SKU-007,2024-08-01,286.6,50,2,170.16,140,54,35,C,0
SKU-007,2024-09-01,288.09,65,1,170.16,166,62,25,B,0
SKU-007,2024-10-01,324.68,55,1,170.16,47,56,18,C,0
SKU-007,2024-11-01,378.77,45,0,170.16,78,47,36,C,0
SKU-007,2024-12-01,359.44,55,1,170.16,110,53,34,A,0
SKU-008,2024-01-01,316.92,6,0,161.46,42,6,3,A,0
SKU-008,2024-02-01,391.67,4,0,161.46,34,3,1,C,0
SKU-008,2024-03-01,373.32,5,0,161.46,22,5,3,C,0
SKU-008,2024-04-01,395.9,5,0,161.46,29,4,3,A,0
SKU-008,2024-05-01,357.72,5,0,161.46,19,5,4,B,0
SKU-008,2024-06-01,399.73,4,0,161.46,21,4,2,B,0
SKU-008,2024-07-01,384.74,6,0,161.46,53,5,4,B,0
SKU-008,2024-08-01,313.98,6,0,161.46,20,5,2,B,0
SKU-008,2024-09-01,411.04,4,0,161.46,7,3,2,C,0
SKU-008,2024-10-01,329.12,4,0,161.46,23,3,3,B,0
SKU-008,2024-11-01,373.84,3,0,161.46,51,3,2,B,0
SKU-008,2024-12-01,328.57,7,0,161.46,47,7,5,B,0
SKU-009,2024-01-01,307.37,0,0,209.45,42,0,0,B,0
SKU-009,2024-02-01,331.54,0,0,209.45,2,0,0,A,0
SKU-009,2024-03-01,266.19,0,0,209.45,22,0,0,B,0
SKU-009,2024-04-01,286.68,1,0,209.45,33,0,0,B,0
SKU-009,2024-05-01,283.99,0,0,209.45,35,0,0,C,0
SKU-009,2024-06-01,311.63,0,0,209.45,15,0,0,C,0
SKU-009,2024-07-01,333.26,0,0,209.45,19,0,0,C,0
SKU-009,2024-08-01,287.31,0,0,209.45,5,0,0,C,0
SKU-009,2024-09-01,321.92,1,0,209.45,32,1,0,C,0
SKU-009,2024-10-01,298.01,0,0,209.45,49,0,0,B,0
SKU-009,2024-11-01,294.81,1,0,209.45,51,0,0,A,0
SKU-009,2024-12-01,306.06,0,0,209.45,15,0,0,C,0
SKU-010,2024-01-01,476.01,0,0,300.17,38,0,0,C,0
SKU-010,2024-02-01,412.45,1,0,300.17,28,0,0,B,0
SKU-010,2024-03-01,430.33,0,0,300.17,43,0,0,A,0
SKU-010,2024-04-01,442.11,0,0,300.17,29,0,0,C,0
SKU-010,2024-05-01,493.27,0,0,300.17,13,0,0,A,0
SKU-010,2024-06-01,487.73,0,0,300.17,2,0,0,B,0
SKU-010,2024-07-01,471.03,0,0,300.17,48,0,0,B,0
SKU-010,2024-08-01,389.29,0,0,300.17,48,0,0,A,0
SKU-010,2024-09-01,431.47,0,0,300.17,41,0,0,C,0
SKU-010,2024-10-01,405.12,1,0,300.17,40,0,0,A,0
SKU-010,2024-11-01,446.24,0,0,300.17,31,0,0,C,0
SKU-010,2024-12-01,470.38,0,0,300.17,49,0,0,C,0
SKU-011,2024-01-01,342.92,0,0,246.23,2,0,0,B,0
SKU-011,2024-02-01,357.75,1,0,246.23,8,1,0,B,0
SKU-011,2024-03-01,356.87,1,0,246.23,29,0,0,C,0
SKU-011,2024-04-01,350.04,0,0,246.23,37,0,0,B,0
SKU-011,2024-05-01,339.21,0,0,246.23,31,0,0,A,0
SKU-011,2024-06-01,372.11,1,0,246.23,6,0,0,B,0
SKU-011,2024-07-01,415.56,0,0,246.23,21,0,0,C,0
SKU-011,2024-08-01,400.01,0,0,246.23,35,0,0,A,0
SKU-011,2024-09-01,369.12,0,0,246.23,2,0,0,C,0
SKU-011,2024-10-01,310.73,1,0,246.23,49,0,0,C,0
SKU-011,2024-11-01,323.58,0,0,246.23,32,0,0,C,0
SKU-011,2024-12-01,343.19,0,0,246.23,28,0,0,A,0
SKU-012,2024-01-01,162.74,0,0,66.63,22,0,0,C,0
SKU-012,2024-02-01,134.54,0,0,66.63,38,0,0,A,0
SKU-012,2024-03-01,165.19,3,0,66.63,53,2,1,C,0
SKU-012,2024-04-01,142.55,0,0,66.63,6,0,0,B,0
SKU-012,2024-05-01,141.96,0,0,66.63,15,0,0,B,0
SKU-012,2024-06-01,128.35,1,0,66.63,46,0,0,B,0
SKU-012,2024-07-01,166.69,1,0,66.63,34,1,0,B,0
SKU-012,2024-08-01,142.29,0,0,66.63,22,0,0,A,0
SKU-012,2024-09-01,127.22,1,0,66.63,43,0,0,C,0
SKU-012,2024-10-01,167.04,0,0,66.63,39,0,0,B,0
SKU-012,2024-11-01,140.39,1,0,66.63,11,1,0,A,0
SKU-012,2024-12-01,147.89,0,0,66.63,39,0,0,C,0
SKU-013,2024-01-01,280.7,24,0,209.44,33,25,12,C,0
SKU-013,2024-02-01,305.13,19,0,209.44,45,19,6,C,0
SKU-013,2024-03-01,322.9,18,0,209.44,50,17,11,C,0
SKU-013,2024-04-01,339.37,23,0,209.44,74,21,8,B,0
SKU-013,2024-05-01,300.91,22,0,209.44,77,20,7,B,0
SKU-013,2024-06-01,364.14,16,0,209.44,62,15,9,B,0
SKU-013,2024-07-01,372.76,14,0,209.44,56,12,5,B,0
SKU-013,2024-08-01,291.42,15,0,209.44,50,13,9,B,0
SKU-013,2024-09-01,315.21,20,0,209.44,74,20,6,C,0
SKU-013,2024-10-01,345.95,22,1,209.44,60,22,14,B,0
SKU-013,2024-11-01,339.52,20,0,209.44,67,21,7,C,0
SKU-013,2024-12-01,364.4,17,0,209.44,28,16,6,A,0
SKU-014,2024-01-01,366.54,0,0,201.4,22,0,0,B,0
SKU-014,2024-02-01,429.52,0,0,201.4,1,0,0,B,0
SKU-014,2024-03-01,355.53,0,0,201.4,0,0,0,C,0
SKU-014,2024-04-01,460.19,1,0,201.4,42,0,0,C,0
SKU-014,2024-05-01,399.4,0,0,201.4,45,0,0,C,0
SKU-014,2024-06-01,388.59,0,0,201.4,23,0,0,B,0
SKU-014,2024-07-01,429.54,0,0,201.4,19,0,0,B,0
SKU-014,2024-08-01,430.3,1,0,201.4,13,0,0,A,0
SKU-014,2024-09-01,445.43,1,0,201.4,43,0,0,C,0
SKU-014,2024-10-01,425.57,1,0,201.4,29,1,0,C,0
SKU-014,2024-11-01,359.77,1,0,201.4,48,0,0,A,0
SKU-014,2024-12-01,383.44,0,0,201.4,49,0,0,B,0
SKU-015,2024-01-01,131.78,60,1,77.55,71,56,18,C,0
SKU-015,2024-02-01,125.16,32,1,77.55,91,33,11,A,0
SKU-015,2024-03-01,132.13,48,1,77.55,117,47,38,C,0
SKU-015,2024-04-01,122.88,67,2,77.55,88,71,25,B,0
SKU-015,2024-05-01,130.89,55,1,77.55,136,57,48,A,0
SKU-015,2024-06-01,121.94,58,1,77.55,76,58,45,C,0
SKU-015,2024-07-01,109.79,56,1,77.55,140,54,20,A,0
SKU-015,2024-08-01,121.35,62,0,77.55,114,58,31,C,0
SKU-015,2024-09-01,125.3,47,1,77.55,59,51,37,A,0
SKU-015,2024-10-01,116.87,65,3,77.55,98,65,29,B,0
SKU-015,2024-11-01,120.38,53,1,77.55,79,54,25,A,0
SKU-015,2024-12-01,102.3,58,1,77.55,123,57,21,C,0
SKU-016,2024-01-01,140.38,7,0,94.15,22,7,5,B,0
SKU-016,2024-02-01,145.81,8,0,94.15,33,8,2,C,0
SKU-016,2024-03-01,166.23,6,0,94.15,13,6,2,A,0
SKU-016,2024-04-01,156.71,5,0,94.15,27,5,3,A,0
SKU-016,2024-05-01,131.49,8,0,94.15,56,7,6,A,0
SKU-016,2024-06-01,133.46,7,0,94.15,15,6,3,C,0
SKU-016,2024-07-01,129.77,8,0,94.15,39,8,5,A,0
SKU-016,2024-08-01,140.99,6,0,94.15,5,5,2,A,0
SKU-016,2024-09-01,154.46,6,0,94.15,8,6,4,A,0
SKU-016,2024-10-01,150.21,6,0,94.15,22,5,3,A,0
SKU-016,2024-11-01,148.05,5,0,94.15,35,4,1,C,0
SKU-016,2024-12-01,161.62,7,0,94.15,46,7,5,B,0
SKU-017,2024-01-01,158.25,4,0,109.27,12,4,1,A,0
SKU-017,2024-02-01,173.0,4,0,109.27,13,4,1,A,0
SKU-017,2024-03-01,170.3,4,0,109.27,44,3,3,C,0
SKU-017,2024-04-01,172.83,4,0,109.27,46,4,1,C,0
SKU-017,2024-05-01,188.05,3,0,109.27,22,2,0,A,0
SKU-017,2024-06-01,162.18,4,0,109.27,27,3,3,B,0
SKU-017,2024-07-01,196.97,1,0,109.27,13,0,0,B,0
SKU-017,2024-08-01,161.87,5,0,109.27,16,4,3,A,0
SKU-017,2024-09-01,192.47,5,0,109.27,17,4,3,B,0
SKU-017,2024-10-01,203.29,1,0,109.27,23,0,0,A,0
SKU-017,2024-11-01,176.59,3,0,109.27,8,3,1,C,0
SKU-017,2024-12-01,201.22,3,0,109.27,32,2,2,B,0
SKU-018,2024-01-01,70.5,0,0,47.17,21,0,0,A,0
SKU-018,2024-02-01,90.37,0,0,47.17,39,0,0,B,0
SKU-018,2024-03-01,73.57,0,0,47.17,33,0,0,B,0
SKU-018,2024-04-01,70.09,1,0,47.17,36,1,0,A,0
SKU-018,2024-05-01,91.29,0,0,47.17,47,0,0,C,0
SKU-018,2024-06-01,89.79,1,0,47.17,27,1,0,A,0
SKU-018,2024-07-01,81.11,1,0,47.17,27,1,0,C,0
SKU-018,2024-08-01,82.61,1,0,47.17,21,1,0,C,0
SKU-018,2024-09-01,73.36,3,0,47.17,25,2,1,C,0
SKU-018,2024-10-01,84.8,1,0,47.17,36,1,0,A,0
SKU-018,2024-11-01,88.29,2,0,47.17,19,2,1,B,0
SKU-018,2024-12-01,81.14,0,0,47.17,31,0,0,C,0
SKU-019,2024-01-01,157.33,4,0,121.91,45,3,1,A,1
SKU-019,2024-02-01,167.04,5,0,121.91,29,4,2,B,1
SKU-019,2024-03-01,179.53,4,0,121.91,28,3,1,C,1
SKU-019,2024-04-01,172.56,5,0,121.91,36,5,1,C,1
SKU-019,2024-05-01,164.56,5,0,121.91,28,5,3,B,1
SKU-019,2024-06-01,167.06,4,0,121.91,24,3,2,B,1
SKU-019,2024-07-01,173.86,5,0,121.91,33,5,2,C,1
SKU-019,2024-08-01,161.78,4,0,121.91,31,3,2,B,1
SKU-019,2024-09-01,194.55,4,0,121.91,23,4,1,A,1
SKU-019,2024-10-01,158.82,5,0,121.91,34,4,3,A,1
SKU-019,2024-11-01,185.17,4,0,121.91,45,3,1,C,1
SKU-019,2024-12-01,185.27,2,0,121.91,44,1,0,A,1
SKU-020,2024-01-01,124.18,3,0,70.16,10,3,2,A,1
SKU-020,2024-02-01,119.25,2,0,70.16,7,1,1,A,1
SKU-020,2024-03-01,125.5,1,0,70.16,4,0,0,C,1
SKU-020,2024-04-01,115.99,3,0,70.16,12,3,0,B,1
SKU-020,2024-05-01,132.74,1,0,70.16,2,0,0,B,1
SKU-020,2024-06-01,125.98,3,0,70.16,32,3,2,B,1
SKU-020,2024-07-01,131.27,0,0,70.16,8,0,0,A,1
SKU-020,2024-08-01,126.1,2,0,70.16,33,1,1,B,1
SKU-020,2024-09-01,150.84,1,0,70.16,23,0,0,C,1
SKU-020,2024-10-01,125.43,2,0,70.16,7,1,0,C,1
SKU-020,2024-11-01,113.76,5,0,70.16,53,5,1,B,1
SKU-020,2024-12-01,122.37,1,0,70.16,13,0,0,B,1
SKU-021,2024-01-01,238.33,25,0,131.79,39,24,13,A,0
SKU-021,2024-02-01,200.01,32,0,131.79,46,31,23,C,0
SKU-021,2024-03-01,233.58,34,1,131.79,69,32,14,A,0
SKU-021,2024-04-01,209.28,29,1,131.79,33,30,24,C,0
SKU-021,2024-05-01,238.31,34,0,131.79,57,35,14,C,0
SKU-021,2024-06-01,254.72,31,0,131.79,90,28,24,C,0
SKU-021,2024-07-01,247.95,30,0,131.79,75,31,15,A,0
SKU-021,2024-08-01,261.39,31,0,131.79,26,31,18,B,0
SKU-021,2024-09-01,223.71,33,1,131.79,51,34,25,B,0
SKU-021,2024-10-01,246.0,28,1,131.79,66,28,9,A,0
SKU-021,2024-11-01,234.02,31,0,131.79,75,30,21,B,0
SKU-021,2024-12-01,242.96,34,1,131.79,74,33,29,A,0
SKU-022,2024-01-01,43.76,6,0,22.63,21,5,2,A,0
SKU-022,2024-02-01,44.22,7,0,22.63,19,6,3,B,0
SKU-022,2024-03-01,54.97,4,0,22.63,31,4,2,C,0
SKU-022,2024-04-01,51.9,6,0,22.63,54,5,5,C,0
SKU-022,2024-05-01,46.2,10,0,22.63,19,10,7,B,0
SKU-022,2024-06-01,43.62,7,0,22.63,8,7,6,C,0
SKU-022,2024-07-01,44.23,7,0,22.63,30,6,5,C,0
SKU-022,2024-08-01,51.35,6,0,22.63,11,5,3,B,0
SKU-022,2024-09-01,47.52,8,0,22.63,34,7,5,B,0
SKU-022,2024-10-01,51.75,7,0,22.63,48,6,6,C,0
SKU-022,2024-11-01,55.64,5,0,22.63,10,5,3,A,0
SKU-022,2024-12-01,49.39,6,0,22.63,53,6,2,C,0
SKU-023,2024-01-01,243.07,4,0,132.0,45,4,1,B,1
SKU-023,2024-02-01,282.83,2,0,132.0,44,2,1,C,1
SKU-023,2024-03-01,268.64,3,0,132.0,37,2,2,B,1
SKU-023,2024-04-01,259.74,2,0,132.0,31,2,1,A,1
SKU-023,2024-05-01,239.39,5,0,132.0,54,4,3,C,1
SKU-023,2024-06-01,243.06,4,0,132.0,36,3,2,B,1
SKU-023,2024-07-01,267.87,2,0,132.0,22,2,1,B,1
SKU-023,2024-08-01,280.19,2,0,132.0,48,1,0,C,1
SKU-023,2024-09-01,224.35,3,0,132.0,39,2,1,B,1
SKU-023,2024-10-01,296.43,2,0,132.0,27,2,1,C,1
SKU-023,2024-11-01,243.68,3,0,132.0,19,3,2,A,1
SKU-023,2024-12-01,295.12,2,0,132.0,52,1,1,B,1
SKU-024,2024-01-01,442.92,39,1,316.95,67,40,26,A,1
SKU-024,2024-02-01,516.2,41,0,316.95,124,39,25,A,1
SKU-024,2024-03-01,535.46,43,0,316.95,103,42,34,B,1
SKU-024,2024-04-01,510.88,46,2,316.95,38,43,30,C,1
SKU-024,2024-05-01,446.05,49,1,316.95,77,48,16,B,1
SKU-024,2024-06-01,521.61,33,0,316.95,36,32,15,A,1
SKU-024,2024-07-01,442.99,31,0,316.95,59,29,25,C,1
SKU-024,2024-08-01,515.62,30,0,316.95,41,29,11,C,1
SKU-024,2024-09-01,536.0,26,0,316.95,49,26,20,B,1
SKU-024,2024-10-01,418.24,27,0,316.95,45,28,21,A,1
SKU-024,2024-11-01,523.59,25,1,316.95,86,24,8,C,1
SKU-024,2024-12-01,452.17,36,0,316.95,111,35,11,C,1
SKU-025,2024-01-01,91.67,99,3,63.73,231,91,45,B,1
SKU-025,2024-02-01,103.03,146,3,63.73,259,154,62,A,1
SKU-025,2024-03-01,78.52,138,5,63.73,173,124,96,C,1
SKU-025,2024-04-01,85.04,178,5,63.73,415,169,81,C,1
SKU-025,2024-05-01,91.36,152,6,63.73,397,157,100,B,1
SKU-025,2024-06-01,97.3,126,5,63.73,175,118,69,A,1
SKU-025,2024-07-01,81.9,127,5,63.73,232,137,48,C,1
SKU-025,2024-08-01,96.19,115,2,63.73,204,122,60,B,1
SKU-025,2024-09-01,95.88,79,2,63.73,111,83,45,C,1
SKU-025,2024-10-01,103.34,84,2,63.73,83,85,62,C,1
SKU-025,2024-11-01,99.22,92,2,63.73,153,87,45,C,1
SKU-025,2024-12-01,93.36,91,3,63.73,100,83,78,C,1
